Num	Station	Date	Time	Lon	Lat	Bottle	Depth	MLD	Label	Chla	sample	C2	C3	Chlphyllide_a	Peridinin	19_But	Fucoxanthin	Neox	Pras	19_Hex	Diadino_diatox	Diatox	Violaxanthin	Alloxanthin	Zeaxanthin	Lutein	Chl_b	Div_a	Chl_a	alpha-beta-Carotene
20	Stn5	25/02/2022	07:08	-71.99836	-32.49946	14	20	25	upper	0.60	1_20_20132_SO289	22.25871461	20.22538123	0	4.998075272	18.98221518	6.779982531	1.808218256	0.25236335	78.14388932	16.06363652	0	2.659316271	0	169.2116609	0	31.2650933	111.6836105	148.5309479	21.77173355
21	Stn5	25/02/2022	07:08	-71.99836	-32.49946	17	5	25	upper	0.60	1_21_20135_SO289	32.64815082	24.0355717	0	4.479012179	19.30264995	62.77466179	1.187351336	0.872658315	75.70097742	20.39356114	0	2.247406622	0	152.2405343	0	33.09596925	103.9414873	153.4649657	19.56031252
22	Stn6	25/02/2022	22:40	-72.80002	-32.49996	2	100	16	lower	0.04	1_22_20161_SO289	1.971271969	2.772510167	0	0	3.337625825	1.370240167	0	0	4.833099085	0	0	0	0	0	0	3.100943044	0	14.61712003	0
23	Stn6	25/02/2022	22:40	-72.80002	-32.49996	4	75	16	lower	0.11	1_23_20163_SO289	7.349235072	14.86805501	0	3.633441655	11.53848724	7.500711767	0	0.95756561	28.84920781	2.065524071	0	0.156835892	0	0	0	11.50482858	0	52.67637234	1.395347957
24	Stn6	25/02/2022	22:40	-72.80002	-32.49996	6	50	16	lower	0.90	1_24_20165_SO289	49.20683535	74.23302126	0	7.526414857	38.40963619	53.47640003	6.50777297	6.669939768	130.6225579	9.45186606	0	2.957476812	0	31.29184075	0	126.3221931	88.24328756	284.5382196	25.07516602
25	Stn6	25/02/2022	22:40	-72.80002	-32.49996	8	35	16	lower	1.16	1_25_20167_SO289	70.68953515	76.64623127	0	13.45378051	52.68741531	39.62301556	9.258621293	6.818527535	191.6748514	14.47436927	0	5.459957192	0	114.4461171	0	157.9089268	164.4206054	384.5131069	36.59412545
26	Stn6	25/02/2022	22:40	-72.80002	-32.49996	10	20	16	lower	0.98	1_26_20169_SO289	47.78391016	45.00904803	0	7.945014127	32.79210284	19.29731163	3.040888345	2.617974944	139.1961828	15.59784689	0	3.269425124	0	192.9342017	0	65.34247803	171.5158932	248.4170673	31.82684968
27	Stn6	25/02/2022	22:40	-72.80002	-32.49996	12	5	16	upper	0.73	1_27_20171_SO289	20.20137302	17.31880384	0	3.846927283	14.56985683	8.583229986	0	0.389158438	78.30206347	19.87543559	0	2.30945159	0	186.9042243	0	24.09003892	119.3859285	140.9708788	21.22572783
28	Stn7	26/02/2022	10:16	-73.79984	-32.50006	2	100	20	lower	0.04	1_28_20197_SO289	2.364138143	3.850410638	0	1.331145676	3.553139472	1.091064416	0.607271294	0.360856006	8.32757618	0	0	0	0	0	0	2.721572353	0	18.74482903	0
29	Stn7	26/02/2022	10:16	-73.79984	-32.50006	5	75	20	lower	0.12	1_29_20200_SO289	6.909169428	14.03683823	0	2.762755176	15.70697489	5.865539509	1.189617273	0.6226535	27.69219318	2.220787282	0	0	0	0	0	15.86759154	0	56.00516992	1.346422713
30	Stn7	26/02/2022	10:16	-73.79984	-32.50006	8	50	20	lower	0.43	1_30_20203_SO289	25.08235347	42.25262593	0	9.535691349	33.23163725	25.45342181	4.948807857	2.242967722	65.77408482	6.194827681	0	0.73592226	0	12.46118181	0	63.06625388	35.44160909	155.1367618	10.66374617
31	Stn7	26/02/2022	10:16	-73.79984	-32.50006	11	35	20	lower	0.87	1_31_20206_SO289	59.94517744	76.15375767	0	14.96910986	67.54651414	44.41743178	10.09097573	4.974938572	156.6548989	12.73739844	0	5.636900249	0	37.40412116	0	130.0966566	80.70516629	319.6434723	23.1188086
32	Stn7	26/02/2022	10:16	-73.79984	-32.50006	14	20	20	upper	0.78	1_32_20209_SO289	75.27852673	96.12441118	20.3853557	14.88539001	70.28391556	33.52388001	7.459466789	7.522157437	286.6310908	20.12490345	0	5.926443433	0	25.45990479	0	70.02413229	29.27676933	412.6821317	13.22677661
33	Stn7	26/02/2022	10:16	-73.79984	-32.50006	17	5	20	upper	0.65	1_33_20212_SO289	63.01851075	78.81007624	2.231525458	9.035046623	47.06818054	23.60573414	0	4.596314929	286.7662223	31.16987473	0	6.642947917	0	23.01190626	0	41.80335134	29.29667196	382.9567091	11.55418561
34	Stn8	26/02/2022	22:12	-76.6004	-32.50014	2	120	12	lower	0.03	1_34_20239_SO289	1.622828825	2.120943464	0	1.506957369	3.422697001	0.675149521	0	0	5.582961731	0	0	0	0	0	0	2.284471339	0	14.23245898	0
35	Stn8	26/02/2022	22:12	-76.6004	-32.50014	5	90	12	lower	0.12	1_35_20242_SO289	7.706007534	15.21394844	0	2.026020462	20.44543942	4.389896252	0.652590047	0.490575485	26.72264421	2.119604515	0	0	0	0	0	15.29028831	0	56.58955883	1.502983493
36	Stn8	26/02/2022	22:12	-76.6004	-32.50014	8	60	12	lower	1.18	1_36_20245_SO289	71.97502659	89.42551894	0	10.81660511	105.9221219	19.76735243	7.389222721	4.153381871	178.5874049	11.75290174	0	4.556858212	0	75.46152202	0	182.7247183	173.3021543	322.6122666	38.95819323
37	Stn8	26/02/2022	22:12	-76.6004	-32.50014	11	30	12	lower	0.35	1_37_20248_SO289	19.97985818	19.86224023	0	5.453103991	21.14670182	6.211775955	1.729461611	0.395214138	68.2698006	7.596722933	0	0.730379204	0	50.73101327	0	27.08644327	57.95968719	107.0653261	9.063599783
38	Stn8	26/02/2022	22:12	-76.6004	-32.50014	14	20	12	lower	0.21	1_38_20251_SO289	9.514730576	6.634701376	0	3.199858563	9.080373557	3.323264898	0	0	35.53194335	5.473405556	0	0.524009614	0	48.74952668	0	8.705119116	41.28588776	59.40991473	6.045102915
39	Stn8	26/02/2022	22:12	-76.6004	-32.50014	17	5	12	upper	0.22	1_39_20254_SO289	8.939253434	5.703177096	0	1.706290354	11.30321367	4.236019498	0	1.063213048	36.2879959	9.049405651	0	1.420359234	0	52.2060382	0	10.66112806	35.98901041	70.92041401	6.702292463
